,Data,CPU.Uso,CPU.Temperatura,CPU.Hotspot,RAM.Total,RAM.Uso,RAM.livre,SWAP.Total,SWAP.Uso,SWAP.livre,Disco.Total,Disco.Uso,Disco.Livre,Disco.Porcentagem de Uso,Disco.Temperature,Disco.Hotspot
0,25/08/25 13:17:04,4.2,47.0,100.0,11.41,3.54,2.96,0.5,0.0,0.5,468,66,378,14.9,34.85,86.85
0,25/08/25 13:17:07,2.5,43.0,100.0,11.41,3.54,2.97,0.5,0.0,0.5,468,66,378,14.9,34.85,86.85
0,25/08/25 13:17:10,10.5,44.0,100.0,11.41,3.55,2.96,0.5,0.0,0.5,468,66,378,14.9,34.85,86.85
0,25/08/25 13:17:13,1.7,42.0,100.0,11.41,3.54,2.98,0.5,0.0,0.5,468,66,378,14.9,34.85,86.85
0,25/08/25 13:17:16,1.7,42.0,100.0,11.41,3.52,2.99,0.5,0.0,0.5,468,66,378,14.9,34.85,86.85
0,25/08/25 13:17:20,4.2,41.0,100.0,11.41,3.52,2.97,0.5,0.0,0.5,468,66,378,14.9,34.85,86.85
0,25/08/25 13:17:23,1.7,42.0,100.0,11.41,3.46,3.02,0.5,0.0,0.5,468,66,378,14.9,34.85,86.85
0,25/08/25 13:17:26,1.7,42.0,100.0,11.41,3.45,3.05,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:17:29,2.5,40.0,100.0,11.41,3.49,3.0,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:17:32,100.0,92.0,100.0,11.41,3.48,3.0,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:17:35,0.8,58.0,100.0,11.41,3.5,2.99,0.5,0.0,0.5,468,66,378,14.9,34.85,86.85
0,25/08/25 13:17:38,1.7,51.0,100.0,11.41,3.49,3.0,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:17:42,1.7,47.0,100.0,11.41,3.48,3.01,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:17:45,1.7,47.0,100.0,11.41,3.47,3.02,0.5,0.0,0.5,468,66,378,14.9,34.85,86.85
0,25/08/25 13:17:48,4.2,46.0,100.0,11.41,3.47,3.02,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:17:51,0.8,45.0,100.0,11.41,3.48,3.01,0.5,0.0,0.5,468,66,378,14.9,34.85,86.85
0,25/08/25 13:17:54,1.7,44.0,100.0,11.41,3.48,3.02,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:17:57,1.7,44.0,100.0,11.41,3.47,3.03,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:18:00,2.5,42.0,100.0,11.41,3.47,3.03,0.5,0.0,0.5,468,66,378,14.9,34.85,86.85
0,25/08/25 13:18:04,1.7,42.0,100.0,11.41,3.47,3.04,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:18:07,0.8,42.0,100.0,11.41,3.47,3.04,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:18:10,1.7,41.0,100.0,11.41,3.46,3.04,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:18:13,0.8,41.0,100.0,11.41,3.46,3.04,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:18:16,1.7,41.0,100.0,11.41,3.47,3.03,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:18:19,1.7,40.0,100.0,11.41,3.47,3.03,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:18:22,1.7,41.0,100.0,11.41,3.46,3.04,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
0,25/08/25 13:18:26,5.9,40.0,100.0,11.41,3.42,3.08,0.5,0.0,0.5,468,66,378,14.9,35.85,86.85
