Pid,Name,Status,User,Started
1,systemd,sleeping,root,2025-08-25 12:50:31
2,kthreadd,sleeping,root,2025-08-25 12:50:31
3,pool_workqueue_release,sleeping,root,2025-08-25 12:50:31
4,kworker/R-rcu_gp,idle,root,2025-08-25 12:50:31
5,kworker/R-sync_wq,idle,root,2025-08-25 12:50:31
6,kworker/R-kvfree_rcu_reclaim,idle,root,2025-08-25 12:50:31
7,kworker/R-slub_flushwq,idle,root,2025-08-25 12:50:31
8,kworker/R-netns,idle,root,2025-08-25 12:50:31
10,kworker/0:0H-events_highpri,idle,root,2025-08-25 12:50:31
11,kworker/0:1-events,idle,root,2025-08-25 12:50:31
12,kworker/u48:0-iou_exit,idle,root,2025-08-25 12:50:31
13,kworker/R-mm_percpu_wq,idle,root,2025-08-25 12:50:31
14,rcu_tasks_kthread,idle,root,2025-08-25 12:50:31
15,rcu_tasks_rude_kthread,idle,root,2025-08-25 12:50:31
16,rcu_tasks_trace_kthread,idle,root,2025-08-25 12:50:31
17,ksoftirqd/0,sleeping,root,2025-08-25 12:50:31
18,rcu_preempt,idle,root,2025-08-25 12:50:31
19,rcu_exp_par_gp_kthread_worker/0,sleeping,root,2025-08-25 12:50:31
20,rcu_exp_gp_kthread_worker,sleeping,root,2025-08-25 12:50:31
21,migration/0,sleeping,root,2025-08-25 12:50:31
22,idle_inject/0,sleeping,root,2025-08-25 12:50:31
23,cpuhp/0,sleeping,root,2025-08-25 12:50:31
24,cpuhp/2,sleeping,root,2025-08-25 12:50:31
25,idle_inject/2,sleeping,root,2025-08-25 12:50:31
26,migration/2,sleeping,root,2025-08-25 12:50:31
27,ksoftirqd/2,sleeping,root,2025-08-25 12:50:31
29,kworker/2:0H-events_highpri,idle,root,2025-08-25 12:50:31
30,cpuhp/4,sleeping,root,2025-08-25 12:50:31
31,idle_inject/4,sleeping,root,2025-08-25 12:50:31
32,migration/4,sleeping,root,2025-08-25 12:50:31
33,ksoftirqd/4,sleeping,root,2025-08-25 12:50:31
34,kworker/4:0-events,idle,root,2025-08-25 12:50:31
35,kworker/4:0H-events_highpri,idle,root,2025-08-25 12:50:31
36,cpuhp/5,sleeping,root,2025-08-25 12:50:31
37,idle_inject/5,sleeping,root,2025-08-25 12:50:31
38,migration/5,sleeping,root,2025-08-25 12:50:31
39,ksoftirqd/5,sleeping,root,2025-08-25 12:50:31
41,kworker/5:0H-events_highpri,idle,root,2025-08-25 12:50:31
42,cpuhp/6,sleeping,root,2025-08-25 12:50:31
43,idle_inject/6,sleeping,root,2025-08-25 12:50:31
44,migration/6,sleeping,root,2025-08-25 12:50:31
45,ksoftirqd/6,sleeping,root,2025-08-25 12:50:31
47,kworker/6:0H-events_highpri,idle,root,2025-08-25 12:50:31
48,cpuhp/7,sleeping,root,2025-08-25 12:50:31
49,idle_inject/7,sleeping,root,2025-08-25 12:50:31
50,migration/7,sleeping,root,2025-08-25 12:50:31
51,ksoftirqd/7,sleeping,root,2025-08-25 12:50:31
53,kworker/7:0H-events_highpri,idle,root,2025-08-25 12:50:31
54,cpuhp/8,sleeping,root,2025-08-25 12:50:31
55,idle_inject/8,sleeping,root,2025-08-25 12:50:31
56,migration/8,sleeping,root,2025-08-25 12:50:31
